================================================
INDEX_0 IDEA REPOSITORY
================================================
================================================
IDEA REGISTRY
================================================

IDEA-001  Map System | multi scale simulation mapping | System | All Eras
IDEA-227  Rust Sector Industrial Architecture | oxidized metal industrial megastructures | Architecture | Trifecta Dominion
IDEA-228  Orbital Graveyards | abandoned spacecraft accumulation zones | Space Infrastructure | Planetary Period
IDEA-229  Keggel Class Hansa Bulk Carrier | large autonomous cargo freighter | Vehicle | Planetary Period

IDEA-230  Oxyde System | metal rich industrial star system | Star System | Planetary Period
IDEA-231  Planet Patina | partially terraformed industrial world | Planet | Planetary Period
IDEA-232  Patina Orbital Graveyard | orbital wreckage salvage belts | Location | Planetary Period
IDEA-233  Capital Pursuits | venture capitalism space conglomerate | Organization | Planetary Period
IDEA-234  Million Labels Group | corporate industrial defense conglomerate | Organization | Planetary Period

IDEA-235  — unused —

IDEA-236  Patina Omni Production Shipyard | autonomous orbital megashipyard complex | Production | Planetary Period
IDEA-237  Container Spine Freighter | modular cargo spine spacecraft | Vehicle | Planetary Period
IDEA-238  Patina Porcupine Carrier | modular interstellar container carrier | Vehicle | Planetary Period
IDEA-239  Porcupine Engine Module | detachable propulsion cargo unit | Technology | Planetary Period

IDEA-240–244  Patina orbital infrastructure cluster | mixed | Planetary Period

IDEA-245  Orbital Pusher Craft | automated debris repositioning spacecraft | Technology | Planetary Period
IDEA-246  Porcupine Wreck Populations | abandoned carrier salvage settlements | Culture | Planetary Period
IDEA-247  Patina Orbital Object Registry | orbital debris catalog system | Infrastructure | Planetary Period
IDEA-248  MLG Tactical Fighter Series | corporate security interceptor craft | Vehicle | Planetary Period
IDEA-249  Patina OO-7-285 | wrecked porcupine carrier cluster | Location | Planetary Period

IDEA-250  BDP Terraforming Phases | staged planetary biosphere construction | Terraforming | Planetary Period
IDEA-251  Tibnen | terraformed oceanic world | Planet | Planetary Period
IDEA-252  BDP Ark Operations | mobile planetary terraforming missions | Terraforming | Planetary Period
IDEA-253  BDP Observation Posts | orbital biosphere monitoring stations | Terraforming | Planetary Period

IDEA-254–261  planetary settlement cluster | mixed | Planetary Period

IDEA-262  Rust Sector Bolt Class Vessel | rugged modular industrial spacecraft | Vehicle | Trifecta Dominion
IDEA-263  Rust Sector Symbiont Interface | neural industrial vehicle interface | Technology | Trifecta Dominion
IDEA-264  Rust Sector Symbiont Ships | pilot integrated industrial spacecraft | Vehicle | Trifecta Dominion

IDEA-265  Pronghorn | plains adapted grazing ungulate | Species | Planetary Period
IDEA-266  Gustamal Coastal Riparian Steppe | coastal steppe river ecosystem | Bioregion | Planetary Period
IDEA-267  Andrewsarchus Ecological Role | omnivore predator scavenger niche | Ecology | Planetary Period
IDEA-268  Industrial Reentry Phenomena | atmospheric debris reentry effects | Environment | Planetary Period

IDEA-269–274  coastal fog signal technologies | components | Industrial Period

IDEA-275  LM Lines | lunar mars transport company | Organization | Race for Sol
IDEA-276–278  lunar mars infrastructure cluster | mixed | Race for Sol

IDEA-279–293  Blue Sector civilization cluster | mixed | Trifecta Dominion

IDEA-294–300  Oka robotic culture cluster | mixed | Planetary Period

IDEA-301  Superpower Wars | global geopolitical collapse conflict | Event | Superpower Wars
IDEA-302–308  superpower war political entities | mixed | Superpower Wars

IDEA-309–313  New Caledonia ecology cluster | mixed | Planetary Period

IDEA-314  SAP Antonia Experiment | historical civilization recreation experiment | Research | Planetary Period
IDEA-315  Antonia | roman historical reconstruction world | Planet | Planetary Period
IDEA-316  Antonian Republic | recreated roman republican polity | Faction | Planetary Period
IDEA-317  Mark Anthony Seed | reconstructed historical personality template | Person | Planetary Period

IDEA-318–362  — reserved —

IDEA-363  Patina Drifter Population | multicultural frontier migrant population | Culture | Planetary Period
IDEA-364  Patina Surface Taxi | industrial frontier urban vehicle | Vehicle | Planetary Period
IDEA-365  Patina Dock Transfer Tug | orbital cargo maneuvering tug | Vehicle | Planetary Period
IDEA-366  Patina Tug Pilot | civilian orbital tug operator | Person | Planetary Period
IDEA-367  Orbital Deployable Habitation Stack | modular orbital settlement megastructure | Infrastructure | Planetary Period
IDEA-368  Habitation Stack Manufacturer | orbital settlement construction corporation | Organization | Planetary Period
IDEA-369  Transfer Hansa Market | interstellar logistics trading network | Organization | Planetary Period
IDEA-370  Patina Industrial Utility Helicopter | industrial cargo rotorcraft transport | Vehicle | Planetary Period
IDEA-371  Stacklinger | megablock based frontier city | City | Planetary Period

IDEA-372  Neurons | long duration ark pilots | Persons / Technology | Planetary Period
IDEA-373  Ark Seed Terraforming Vessel | autonomous planetary terraform vessel | Vehicle | Planetary Period
IDEA-374  Ark Seed Propulsion Architecture | long endurance interstellar propulsion | Technology | Planetary Period
IDEA-375  Automated Terraforming Industry | autonomous planetary transformation industry | Production | Planetary Period
IDEA-376  Industry Seed Capsules | packaged planetary industrial bootstrap | Technology | Planetary Period
IDEA-377  BDP Priming Fleet | planetary terraforming preparation fleet | Organization | Planetary Period
IDEA-378  Terran BDP Observers | cryosleep biosphere monitoring personnel | Persons | Planetary Period
IDEA-379  Artificial Omni Wombs | automated planetary species generation | Technology | Planetary Period

IDEA-380  Akanur Corp | P. Taurini high end industrial manufacturing omnicorporation | Organization | Late Race for Inter Sol / GGO Hegemony Period
IDEA-381  Henry Garler | neurophilosopher of human cognitive wonder | Person | Planetary Period
IDEA-382  EGrav | artificial directional gravity propulsion technology | Technology | Early Trifecta Dominion Period
IDEA-383  Taxations Grave | mobile cloaked corporate tax haven planetoid | Place | Trifecta Dominion Period
IDEA-384  Sulker System | desert mining star system with major gold reserves | Place | Planetary Period
IDEA-385  Sulker Gold Desert Planet | terraformed Triassic desert gold world | Planet | Planetary Period
IDEA-386  Central Bedrock Desert | exposed gold vein desert bioregion | Bioregion | Planetary Period
IDEA-387  Aureate Impact Basin | gold rich asteroid impact mining basin | Bioregion | Planetary Period
IDEA-388  Escarpment Belt | tectonic cliff desert transition region | Bioregion | Planetary Period
IDEA-389  Seasonal Salt Flats | evaporative desert basin bioregion | Bioregion | Planetary Period
IDEA-390  Highland Dry Steppe | elevated semi arid plateau ecosystem | Bioregion | Planetary Period
IDEA-391  Field Horsetail | runoff channel colonizing horsetail plant | Species | Planetary Period
IDEA-392  Athel Tamarisk | deep rooted salt tolerant desert tree | Species | Planetary Period
IDEA-393  Date Palm | oasis forming desert agricultural palm | Species | Planetary Period
IDEA-394  Gemsbok | large desert antelope herbivore | Species | Planetary Period
IDEA-395  Coelophysis | small fast Triassic desert predator dinosaur | Species | Planetary Period
IDEA-396  Desert Spiny Lizard | rock dwelling desert insectivore reptile | Species | Planetary Period

IDEA-397  Nanhai | monsoon ocean trade world | Planet | Planetary Period
IDEA-398  Nanhai Delta Sea | monsoon driven inland trade basin | Location | Planetary Period
IDEA-399  Pao Archipelago | island labyrinth piracy region | Location | Planetary Period
IDEA-400  Pao Pirate Fleets | decentralized archipelago pirate groups | Organization | Planetary Period

IDEA-401  Transfer Hansa | interstellar bulk cargo logistics network | Organization | Planetary Period
IDEA-402  Transfer Hansa Port | interstellar cargo exchange and storage hub | Infrastructure | Planetary Period
IDEA-403  Nested Market System | hierarchical market network with merchant actors | Economic System | Planetary Period

IDEA-404  Gateway Strait Merchant Republic | fortified charter trading republic | Organization | Planetary Period
IDEA-405  River Delta Trade Republic | inland trade oligarchy delta port | Organization | Planetary Period
IDEA-406  Ironclad Shipyard Republic | naval industry ironclad shipbuilding state | Organization | Planetary Period

IDEA-407  Ching Shih | legendary South China Sea pirate confederation leader | Historical Figure | All Eras
IDEA-408  Macao | historic foreign trade enclave port city | Location | All Eras
IDEA-409  South China Sea Trade Network | monsoon driven maritime trade system | Historical Reference | All Eras
IDEA-410  Pearl River Delta | major river delta maritime trade region | Location | All Eras

IDEA-411  Saab 29 Tunnan | early Swedish swept wing jet fighter | Vehicle | Cold War
IDEA-412  Saab 32 Lansen | Swedish jet attack and reconnaissance aircraft | Vehicle | Cold War
IDEA-413  Saab 35 Draken | Swedish supersonic double delta interceptor | Vehicle | Cold War
IDEA-414  Saab 37 Viggen | Swedish canard delta multirole combat aircraft | Vehicle | Cold War

IDEA-415  Saab AB | Swedish aerospace and defense manufacturer | Organization | All Eras
IDEA-416  Swedish Air Force (Flygvapnet) | national air defense service of Sweden | Organization | All Eras

IDEA-417  Air-to-Air Missiles | guided aircraft launched aerial combat missiles | Technology | Cold War
IDEA-418  Variable Geometry Wing | adjustable sweep aircraft wing system | Technology | Cold War

IDEA-419  General Dynamics F-111 Aardvark | long range terrain following strike aircraft | Vehicle | Cold War
IDEA-420  Grumman F-14 Tomcat | carrier based variable sweep interceptor fighter | Vehicle | Cold War
IDEA-421  Panavia Tornado | European low level strike swing wing aircraft | Vehicle | Cold War

IDEA-422  Lift Engines | dedicated vertical thrust engines for VTOL aircraft | Technology | Cold War
IDEA-423  Yakovlev Yak-38 | Soviet VTOL naval strike aircraft | Vehicle | Cold War

IDEA-424  Thrust Vectoring Nozzle | controllable jet exhaust direction system | Technology | Cold War
IDEA-425  Terrain-Following Radar | automatic low altitude terrain tracking radar | Technology | Cold War

IDEA-426  Eurofighter Typhoon | European multirole canard delta fighter aircraft | Vehicle | Modern Era
IDEA-427  Cold War Aircraft Navigator | multi crew aircraft navigation and targeting specialist | Role | Cold War
IDEA-428  Test Pilot | pilot specialized in experimental aircraft evaluation | Role | All Eras
IDEA-429  Flight Testing | engineering process for evaluating aircraft performance | Technology | All Eras

IDEA-430  Doppler Radar | velocity measuring radar using Doppler shift | Technology | Modern Period
IDEA-431  RF Power Amplifier | radio frequency signal amplification module | Component | Modern Period
IDEA-432  Frequency Stabilized Oscillator | stable reference frequency generator | Component | Modern Period
IDEA-433  Radar Waveguide System | microwave signal transmission waveguide network | Component | Modern Period
IDEA-434  Radar Cooling System | thermal management system for radar electronics | Component | Modern Period
IDEA-435  Microwave Magnetron | vacuum tube microwave generator | Component | Modern Period
IDEA-436  Solid State Radar Transmitter | semiconductor microwave transmission module | Component | Modern Period
IDEA-437  Radar Phase Detector | circuit detecting Doppler phase differences | Component | Modern Period
IDEA-438  Radar Signal Filter Bank | frequency filtering system for radar signals | Component | Modern Period
IDEA-439  Radar Timing Controller | radar pulse synchronization controller | Component | Modern Period

IDEA-440  Light Emitting Diode | semiconductor electroluminescent light source | Technology | Modern Period
IDEA-441  Semiconductor Junction | semiconductor interface enabling electronic effects | Component | Modern Period
IDEA-442  Current Driver Circuit | electronic circuit regulating device current | Component | Modern Period
IDEA-443  Optical Emission Lens | optical element directing emitted light | Component | Modern Period
IDEA-444  Thermal Dissipation Module | heat transfer module for electronic systems | Component | Modern Period
IDEA-445  Electronic Device Package | protective enclosure for semiconductor devices | Component | Modern Period

IDEA-446  Integrated Circuit | monolithic semiconductor electronic circuit | Technology | Modern Period
IDEA-447  Semiconductor Substrate | semiconductor base material for device fabrication | Component | Modern Period
IDEA-448  Transistor Switching Element | semiconductor electronic switching device | Component | Modern Period
IDEA-449  Circuit Interconnect Network | conductive pathways connecting circuit elements | Component | Modern Period
IDEA-450  Integrated Circuit Package | protective chip housing with electrical contacts | Component | Modern Period
IDEA-451  Signal Control Logic | circuit structures controlling logical operations | Component | Modern Period
IDEA-445  Electronic Device Package | protective enclosure for semiconductor devices | Component | Modern Period

IDEA-446  Integrated Circuit | monolithic semiconductor electronic circuit | Technology | Modern Period
IDEA-447  Semiconductor Substrate | semiconductor base material for device fabrication | Component | Modern Period
IDEA-448  Transistor Switching Element | semiconductor electronic switching device | Component | Modern Period
IDEA-449  Circuit Interconnect Network | conductive pathways connecting circuit elements | Component | Modern Period
IDEA-450  Integrated Circuit Package | protective chip housing with electrical contacts | Component | Modern Period
IDEA-451  Signal Control Logic | circuit structures controlling logical operations | Component | Modern Period

IDEA-452  Central Asian Steppe CoG Site | location of the Center of Gravity megastructure | Location | GGO Hegemony Period
IDEA-453  CoG Leveling Access Structure | regulated access system between CoG rings | Cultural Aspect | GGO Hegemony Period
IDEA-454  CoG Commodity Quarters | internal consumer goods production districts | Economic System | GGO Hegemony Period
IDEA-455  GGO Apparent Independent Production | controlled pseudo-corporate production system | Economic System | GGO Hegemony Period
IDEA-456  GGO Engineering Groups | numbered technical institutions managing infrastructure and technology | Institution | GGO Hegemony Period
IDEA-457  GGO Engineering Group 0 – Megastructure Engineering | megastructure design and structural engineering division | Institution | GGO Hegemony Period
IDEA-458  GGO Engineering Group 8 – Automotive Engineering | vehicle design and ground transport engineering division | Institution | GGO Hegemony Period
IDEA-459  CoG High-Speed Ring Rail Network | high-speed rail system running along CoG rings | Infrastructure | GGO Hegemony Period
IDEA-460  Central CoG Space Elevator | primary Earth-to-orbit transport structure of the CoG | Infrastructure | GGO Hegemony Period
IDEA-461  Upper CoG | geostationary orbital station connected to the CoG elevator | Orbital Infrastructure | GGO Hegemony Period
IDEA-462  CoG Orbital Launch Fields | distributed launch and landing installations for spacecraft | Infrastructure | GGO Hegemony Period
IDEA-463  CoG Interior Hobby Agriculture | small-scale gardening and cultivation inside the CoG | Cultural Aspect | GGO Hegemony Period
IDEA-464  GGO Agricultural Machine | automated planetary agricultural production system | Infrastructure System | GGO Hegemony Period
IDEA-465  Ringleague Racing | multi-ring motorsport and recreational driving network | Cultural Institution | GGO Hegemony Period
IDEA-466  Ringleague Grand Route | periodically reserved race circuit through the Ringleague network | Event System | GGO Hegemony Period
IDEA-467  GGO CoG – Center of Gravity | massive terrestrial megacity megastructure built by the GGO | Infrastructure | GGO Hegemony Period
IDEA-468  CoG Outer Wall | four-kilometer-thick arcological outer boundary of the original CoG | Megastructure Component | GGO Hegemony Period
IDEA-469  CoG Infrastructure | integrated transport, energy, water, and utility systems of the CoG | Infrastructure System | GGO Hegemony Period
IDEA-470  CoG Ring 1 | innermost urban ring surrounding the central core | Megastructure Component | GGO Hegemony Period
IDEA-471  CoG Ring 2 | second urban ring of the CoG megacity | Megastructure Component | GGO Hegemony Period
IDEA-472  CoG Ring 3 | third urban ring containing early commodity quarters | Megastructure Component | GGO Hegemony Period
IDEA-473  CoG Ring 4 | fourth urban ring of the original CoG structure | Megastructure Component | GGO Hegemony Period
IDEA-474  CoG Ring 5 | outermost ring of the original CoG city | Megastructure Component | GGO Hegemony Period
IDEA-475  CoG Central Core District | central administrative and civic district of the CoG | Megastructure Component | GGO Hegemony Period
IDEA-476  CoG Infrastructure Belts | inhabited structural belts separating CoG rings | Megastructure Component | GGO Hegemony Period
IDEA-477  CoG Space Elevator Hover Construction Platform | hovering construction platform used during elevator assembly | Infrastructure Technology | GGO Hegemony Period
IDEA-478  GGO Engineering Group 3 – Construction & Logistics Systems | infrastructure machinery and deployment engineering division | Institution | GGO Hegemony Period
IDEA-479  CoG Water System | integrated water distribution and canal system of the CoG | Infrastructure System | GGO Hegemony Period
IDEA-480  CoG Energy System | integrated power generation and distribution network of the CoG | Infrastructure System | GGO Hegemony Period

IDEA-481  AIM-9 Sidewinder | Cold War infrared-guided air-to-air missile | Technology | Cold War
IDEA-482  Infrared Homing Seeker | passive heat-tracking missile guidance sensor system | Technology | Cold War
IDEA-483  Transfer Hansa Interstellar Transport Monopoly | Hansa-controlled interstellar transport system dominating Planetary Period travel | Economic System / Infrastructure | Planetary Period
IDEA-484  Lübeck Class Shellship | early 2.5 km convoy carrier shellship enabling Hansa expansion | Vehicle / Megastructure Transport | Early Planetary Period
IDEA-485  Transfer Hansa Transit Accommodation Model | mixed habitation and cryosleep system for shellship passengers | Transport System | Planetary Period
IDEA-486  Independent Light Trader Class | small privately owned merchant spacecraft | Vehicle | Planetary Period
IDEA-487  Independent Medium Cargo Freighter | mid-sized cargo transport vessel used in Hansa convoys | Vehicle | Planetary Period
IDEA-488  Independent Heavy Bulk Carrier | large industrial cargo transport ship | Vehicle | Planetary Period
IDEA-489  Lübeck Class Docking Procedure | rear-tunnel convoy docking system used by Lübeck shellships | Transport Technology | Early Planetary Period
IDEA-490  Transfer Hansa Early Interstellar Drive | early constant-acceleration propulsion system reaching ~0.2c | Propulsion Technology | Early Planetary Period
IDEA-491  Lübeck Class Crew Complement and Job Distribution | operational staffing model for Lübeck shellships (~1300 crew) | Organizational System | Early Planetary Period
IDEA-492  Pontiferrum Harbor | artificial industrial harbor capital of the Ironclad Shipyard Republic on Nanhai | Location / Infrastructure | Planetary Period

IDEA-493  Mars Delivery Vehicle Program | reusable interplanetary cargo transport system for Earth–Mars logistics | Vehicle System | Race for Sol
IDEA-494  MDV-1 Mars Delivery Vehicle | early reusable Earth-launched Mars cargo rocket (~140 t payload) | Vehicle | Race for Sol
IDEA-495  MDV-2 Mars Delivery Vehicle | improved modular Mars cargo transport rocket | Vehicle | Race for Sol
IDEA-496  MDV-3 Mars Delivery Vehicle | orbital-built interplanetary Mars freight ship (~385 t payload) | Vehicle | Race for Sol
IDEA-497  MDV-4 Mars Delivery Vehicle | cislunar-built heavy Mars cargo freighter | Vehicle | Race for Sol
IDEA-498  MDV-5 Mars Delivery Vehicle | lunar-built large-scale Mars freight spacecraft | Vehicle | Race for Sol
IDEA-499  Mars Orbital Refueling Infrastructure | orbital propellant depot network supporting Mars traffic | Infrastructure | Race for Sol
IDEA-500  Orbital Cargo Terminals | Earth-orbit freight transfer and staging hubs | Infrastructure | Race for Sol
IDEA-501  Mars Orbital Logistics Hubs | Mars orbit freight distribution stations | Infrastructure | Race for Sol
IDEA-502  Taltos-class Mars Cargo Lander | reusable Mars orbit-to-surface cargo lander (~45 t payload) | Vehicle | Race for Sol
IDEA-503  Mars Surface Landing Pads | modular rocket landing sites across Mars | Infrastructure | Race for Sol
IDEA-504  Martian Cargo Crane | heavy cargo handling crane used at Martian landing sites | Industrial Equipment | Race for Sol

================================================
REFERENCE: MACRO ERAS
================================================

POSTMODERNIST PERIOD (≈2024–2090)

Baseline technological and geopolitical world.
Reusable launch systems and large orbital satellite
constellations emerge.


SUPERPOWER WARS (≈2024–2090)

A prolonged period of intermittent global conflict.
The rules-based international order collapses and
numerous geopolitical struggles erupt across the world.

Major powers fragment or reorganize, including the
collapse of the United States, the unification of
Europe into the ENU, the fragmentation of China,
and the emergence of a Pan-African Union.

The wars end with the establishment of the New Order
Treaty, a global collective defense framework that
prevents large-scale interstate war.


RACE FOR SOL (2090–2440)

With terrestrial expansion politically constrained
by the New Order Treaty, geopolitical competition
moves into space.

National and bloc-based space agencies initiate
a prolonged period of prestige-driven exploration
and technological competition known as the Race
for Sol.

Early expansion focuses on symbolic achievements
such as permanent lunar settlements, Mars
expeditions and large orbital infrastructure.

Human presence gradually spreads beyond Earth,
with early settlements established on the Moon
and Mars and exploratory missions reaching
throughout the Solar System.

Although open warfare between major powers
remains politically constrained under the New
Order framework, covert military confrontations
occur in space in a series of clandestine
conflicts later known as the Silent Wars.

Over the course of the era, orbital industry,
planetary settlements and interplanetary
transport networks begin to transform the
Solar System into a permanently inhabited
human environment.

Near the end of the Race for Sol, the first
experimental interstellar missions are attempted,
including early expeditions toward the Alpha
Centauri system.



GGO HEGEMONY PERIOD (2440–5954)

During this era the Global Government Organization
(GGO) consolidates political control over most of
Earth and gradually emerges as the dominant
planetary authority.

The organization develops out of the political
framework established after the Superpower Wars
and the New Order Treaty and evolves into a large
bureaucratic administration responsible for
coordinating planetary governance and major
infrastructure systems.

In its early centuries the GGO remains primarily
an Earth-centered institution. While the
organization exerts influence beyond the planet,
much of the Solar System remains politically
fragmented. Several off-world settlements and
industrial regions maintain their own political
identities or develop into independent power
centers.

The Solar System therefore enters a prolonged
period of uneasy strategic balance between
GGO-dominated Earth and a number of autonomous
Sol-based factions.

Human civilization continues the expansion
initiated during the Race for Sol. Settlements
across the Solar System grow into permanent
population centers, with Mars, the asteroid
belt and several outer system installations
developing into important economic and
political actors.

Early interstellar settlements founded during
the late Race for Sol remain widely separated
due to the vast distances between star systems.
Colonies often reproduce elements of GGO
institutional structures but operate largely
autonomously.

Population management becomes an increasingly
important political concern. Large migration
programs send millions of people to off-world
settlements while Earth itself remains a
densely urbanized world dominated by enormous
metropolitan regions.

Shortly before the First Contraction Event in
the year 3000, construction begins on the COG,
a massive terrestrial population megastructure
designed to concentrate a large share of
Earth's inhabitants.

The unexplained contraction of interstellar
distances triggers a major wave of colonial
expansion. Offworld settlement becomes an
important tool of population management,
sending large numbers of people to distant
systems with varying success.

During the later centuries of the era the
GGO reaches the height of its influence,
exercising considerable political and economic
power across much of the Solar System before
eventually losing its dominance on Earth to
Retronationalist forces.



SECOND MODERNITY (EARTH) (5954–6034)

After the collapse of the Global Government
Organization on Earth, retronationalist states
re-emerge and establish a new geopolitical order.

Although the GGO’s planetary governance structure
disappears, many of the technological and
infrastructural systems developed during the
previous era remain in operation.

Earth experiences a brief period of renewed
nation-state politics, often referred to as the
Second Modernity.



PLANETARY PERIOD (6034–14195)

The Planetary Period begins in the Solar System
with the final collapse of Earth-centered
planetary authority.

Human civilization becomes defined primarily by
independent planetary societies and star system
polities.

In many interstellar systems this transition had
already occurred much earlier. Due to the vast
distances between star systems and the limited
ability of the GGO to exert direct authority far
from Earth, numerous colonies had long developed
their own autonomous political structures.

The beginning of the Planetary Period therefore
represents the formal end of GGO dominance in
the Solar System rather than the universal
beginning of planetary independence across
human space.

During this era the primary political units of
human civilization become individual planets
and planetary systems.

Extensive terraforming efforts and large-scale
biosphere construction projects reshape many
worlds across human space. Organizations such
as the Terran Biome Diversity Project oversee
complex ecological engineering programs.

Advances in communication infrastructure,
including the development of the QuantCom
network, gradually allow distant star systems
to coordinate political and economic activities
across interstellar distances.

Large interstellar trade organizations emerge
during the early centuries of the period, most
notably the Transfer Hansa.

The era ultimately ends with the Alliance
Cascade, a large-scale realignment of
interstellar alliances that results in the
formation of the three major sectors that
dominate the following age.



TRIFECTA DOMINION PERIOD (14195–20219)

The Trifecta Dominion Period begins with the
Alliance Cascade.

Three major geopolitical blocs emerge across
inhabited space:

Gold Sector
Blue Sector
Rust Sector

Interstellar politics becomes defined by the
interaction and rivalry between these three
large regional powers.

Planetary states increasingly align themselves
with one of the three sectors while retaining
varying degrees of autonomy.

Large institutions originating in the
Planetary Period continue to operate during
this era, though often in diminished roles.

Terraforming and planetary settlement continue
throughout the period as sector civilizations
expand into new regions of space.

The era ultimately gives way to a new diplomatic
order with the creation of the Intersector
Assembly.



INTERSECTOR ASSEMBLY PERIOD (20219–35101)

A diplomatic order coordinating relations
between the three sectors and managing
conflicts between their expanding spheres
of influence.


================================================
IDEA REPOSITORY
================================================


------------------------------------------------
SYSTEMS
------------------------------------------------


------------------------------------------------
IDEA-001
------------------------------------------------

Name: Map System
Domain: Systems

Parent Idea: None

Era:
All Eras

Tags:
maps
navigation
ui
exploration
simulation

Description:
Core mapping system used for exploration and simulation mode.
Maps exist as entities and can represent scales from planetary
surfaces to individual buildings. Regions can be defined using
editable heatmaps and painted layers. Derived maps can be
generated from existing maps.


------------------------------------------------
IDEA-002
------------------------------------------------

Name: QuantCom Communication Network
Domain: Systems

Parent Idea: None

Era:
Planetary Period
Trifecta Dominion Period

Tags:
communication
quantum
infrastructure
interstellar

Description:
A quantum communication infrastructure enabling extremely
low latency communication across interstellar space.
Forms the backbone of high-level coordination between
factions and large logistical systems.


------------------------------------------------
IDEA-003
------------------------------------------------

Name: QuantCom Bonding Maturation
Domain: Systems

Parent Idea:
IDEA-002 QuantCom Communication Network

Era:
Planetary Period

Tags:
communication
technology
quantum

Description:
Technological maturation stage of QuantCom systems where
bonding nodes allow stable long-distance communication
across star systems.



------------------------------------------------
IDEA-004
------------------------------------------------

Name: Planetary Population Control System
Domain: Systems

Parent Idea: None

Era:
GGO Hegemony Period

Tags:
governance
demographics
control
infrastructure

Description:
Administrative and technological system used by planetary
governments to regulate population distribution and growth.



------------------------------------------------
VEHICLES
------------------------------------------------


------------------------------------------------
IDEA-010
------------------------------------------------

Name: Mitchell Class Seaplane Tender
Domain: Vehicles

Parent Idea: None

Era:
Postmodernist Period

Tags:
naval
aviation
logistics

Description:
Naval vessel designed to support and operate seaplanes
in remote maritime environments.


------------------------------------------------
IDEA-011
------------------------------------------------

Name: Hunter Class Frigate
Domain: Vehicles

Parent Idea: None

Era:
Postmodernist Period

Tags:
naval
military

Description:
Multi-purpose frigate used for escort and patrol missions.


------------------------------------------------
IDEA-012
------------------------------------------------

Name: Cyberpunk Car
Domain: Vehicles

Parent Idea: None

Era:
Postmodernist Period

Tags:
civilian
vehicle
urban

Description:
Highly stylized futuristic ground vehicle used in dense
urban environments.


------------------------------------------------
IDEA-013
------------------------------------------------

Name: UH-63 Whitehawk Utility Helicopter
Domain: Vehicles

Parent Idea: None

Era:
Postmodernist Period

Tags:
aviation
military
utility

Description:
General purpose helicopter designed for troop transport
and logistical operations.


------------------------------------------------
IDEA-014
------------------------------------------------

Name: Barbento BR120 Aircraft
Domain: Vehicles

Parent Idea: None

Era:
Postmodernist Period

